"OHXRCARO.Code.or.Value","OHXRCARO.Value.Description","OHXRCARO.Count","OHXRCARO.Cumulative","OHXRCARO.Skip.to.Item"
"1","Root caries detected",1517,1517,NA
"2","Root caries not detected",3386,4903,NA
"9","Cannot be accessed",3,4906,NA
".","Missing",4259,9165,NA
