"DSDANCNT.Code.or.Value","DSDANCNT.Value.Description","DSDANCNT.Count","DSDANCNT.Cumulative","DSDANCNT.Skip.to.Item"
"0 to 4","Range of Values",10340,10340,NA
"77","Refused",5,10345,NA
"99","Don't know",3,10348,NA
".","Missing",0,10348,NA
