"DR2IM221.Code.or.Value","DR2IM221.Value.Description","DR2IM221.Count","DR2IM221.Cumulative","DR2IM221.Skip.to.Item"
"0 to 10.391","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
