"RHQ560U.Code.or.Value","RHQ560U.Value.Description","RHQ560U.Count","RHQ560U.Cumulative","RHQ560U.Skip.to.Item"
"1","Months",91,91,NA
"2","Years",264,355,NA
"7","Refused",0,355,NA
"9","Don't know",0,355,NA
".","Missing",3162,3517,NA
