"URXUHG.Code.or.Value","URXUHG.Value.Description","URXUHG.Count","URXUHG.Cumulative","URXUHG.Skip.to.Item"
"0.06 to 34.42","Range of Values",2634,2634,NA
".","Missing",86,2720,NA
