"MPQ030.Code.or.Value","MPQ030.Value.Description","MPQ030.Count","MPQ030.Cumulative","MPQ030.Skip.to.Item"
"1","Yes",679,679,""
"2","No",1600,2279,"MPD050A"
"7","Refused",0,2279,"MPD050A"
"9","Don't know",70,2349,"MPD050A"
".","Missing",2692,5041,""
