"DIQ180.Code.or.Value","DIQ180.Value.Description","DIQ180.Count","DIQ180.Cumulative","DIQ180.Skip.to.Item"
"1","Yes",2575,2575,NA
"2","No",3381,5956,NA
"7","Refused",1,5957,NA
"9","Don't know",167,6124,NA
".","Missing",3240,9364,NA
