"BPXSY3.Code.or.Value","BPXSY3.Value.Description","BPXSY3.Count","BPXSY3.Cumulative","BPXSY3.Skip.to.Item"
"62 to 228","Range of Values",7408,7408,NA
".","Missing",2405,9813,NA
