"TYXA191.Code.or.Value","TYXA191.Value.Description","TYXA191.Count","TYXA191.Cumulative","TYXA191.Skip.to.Item"
"0.192 to 5.452","Range of Values",539,539,NA
".","Missing",5046,5585,NA
