"RFXT096.Code.or.Value","RFXT096.Value.Description","RFXT096.Count","RFXT096.Cumulative","RFXT096.Skip.to.Item"
"831 to 840","Range of Values",51062,51062,NA
".","Missing",14,51076,NA
