"ORXH35.Code.or.Value","ORXH35.Value.Description","ORXH35.Count","ORXH35.Cumulative","ORXH35.Skip.to.Item"
"1","Positive",11,11,NA
"2","Negative",4535,4546,NA
"3","Not evaluated",297,4843,NA
".","Missing",0,4843,NA
