"PFD069K.Code.or.Value","PFD069K.Value.Description","PFD069K.Count","PFD069K.Cumulative","PFD069K.Skip.to.Item"
"1 to 24472","Range of Values",248,248,NA
"66666","Since birth",6,254,NA
"77777","Refused",0,254,NA
"99999","Don't know",3,257,NA
".","Missing",9409,9666,NA
