"RFXC015.Code.or.Value","RFXC015.Value.Description","RFXC015.Count","RFXC015.Cumulative","RFXC015.Skip.to.Item"
"-5.879 to 3.831","Range of Values",51073,51073,NA
".","Missing",3,51076,NA
