"WBXP088.Code.or.Value","WBXP088.Value.Description","WBXP088.Count","WBXP088.Cumulative","WBXP088.Skip.to.Item"
"-175.4171 to 160.387","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
