"RHD143.Code.or.Value","RHD143.Value.Description","RHD143.Count","RHD143.Cumulative","RHD143.Skip.to.Item"
"1","Yes",38,38,""
"2","No",570,608,"RHQ160"
"7","Refused",0,608,"RHQ160"
"9","Don't know",12,620,"RHQ160"
".","Missing",2678,3298,""
