"BMXRECUM.Code.or.Value","BMXRECUM.Value.Description","BMXRECUM.Count","BMXRECUM.Cumulative","BMXRECUM.Skip.to.Item"
"48.3 to 115.6","Range of Values",1079,1079,NA
".","Missing",8259,9338,NA
