"WBXA065.Code.or.Value","WBXA065.Value.Description","WBXA065.Count","WBXA065.Cumulative","WBXA065.Skip.to.Item"
"-1.7226 to 0.9999","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
