"LBCPDTLA.Code.or.Value","LBCPDTLA.Value.Description","LBCPDTLA.Count","LBCPDTLA.Cumulative","LBCPDTLA.Skip.to.Item"
"0.5515 to 177.6","Range of Values",251,251,NA
".","Missing",0,251,NA
