"AUDTYR46.Code.or.Value","AUDTYR46.Value.Description","AUDTYR46.Count","AUDTYR46.Cumulative","AUDTYR46.Skip.to.Item"
"0 to 4.25","Range of Values",1890,1890,NA
".","Missing",156,2046,NA
