"URDHEMLC.Code.or.Value","URDHEMLC.Value.Description","URDHEMLC.Count","URDHEMLC.Cumulative","URDHEMLC.Skip.to.Item"
"0","At or above the detection limit",1304,1304,NA
"1","Below lower detection limit",1148,2452,NA
".","Missing",153,2605,NA
