"DX2RAPF.Code.or.Value","DX2RAPF.Value.Description","DX2RAPF.Count","DX2RAPF.Cumulative","DX2RAPF.Skip.to.Item"
"12 to 61.4","Range of Values",464,464,NA
".","Missing",21,485,NA
