"DR1TZINC.Code.or.Value","DR1TZINC.Value.Description","DR1TZINC.Count","DR1TZINC.Cumulative","DR1TZINC.Skip.to.Item"
"0.12 to 203.01","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
