"MCQ240U.Code.or.Value","MCQ240U.Value.Description","MCQ240U.Count","MCQ240U.Cumulative","MCQ240U.Skip.to.Item"
"2 to 84","Range of Values",72,72,NA
"85","85 years or older",1,73,NA
"77777","Refused",0,73,NA
"99999","Don't know",1,74,NA
".","Missing",9571,9645,NA
