"DR1TVD.Code.or.Value","DR1TVD.Value.Description","DR1TVD.Count","DR1TVD.Cumulative","DR1TVD.Skip.to.Item"
"0 to 78.1","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
