"LBDSTBSI.Code.or.Value","LBDSTBSI.Value.Description","LBDSTBSI.Count","LBDSTBSI.Cumulative","LBDSTBSI.Skip.to.Item"
"1.71 to 224.01","Range of Values",6432,6432,NA
".","Missing",548,6980,NA
