"LBXLNA.Code.or.Value","LBXLNA.Value.Description","LBXLNA.Count","LBXLNA.Cumulative","LBXLNA.Skip.to.Item"
"1370 to 15900","Range of Values",4407,4407,NA
".","Missing",1236,5643,NA
