"AUAFMANL.Code.or.Value","AUAFMANL.Value.Description","AUAFMANL.Count","AUAFMANL.Cumulative","AUAFMANL.Skip.to.Item"
"1","None",2673,2673,NA
"2","500 Hz",0,2673,NA
"3","1000 Hz",2,2675,NA
"4","2000 Hz",7,2682,NA
"5","3000 Hz",1,2683,NA
"6","4000 Hz",7,2690,NA
"7","6000 Hz",17,2707,NA
"8","8000 Hz",57,2764,NA
".","Missing",270,3034,NA
