"SSCTMBFI.Code.or.Value","SSCTMBFI.Value.Description","SSCTMBFI.Count","SSCTMBFI.Cumulative","SSCTMBFI.Skip.to.Item"
"9 to 61120","Range of Values",917,917,NA
".","Missing",0,917,NA
