"LBDGTCSI.Code.or.Value","LBDGTCSI.Value.Description","LBDGTCSI.Count","LBDGTCSI.Cumulative","LBDGTCSI.Skip.to.Item"
"0.3603 to 74.9904","Range of Values",7266,7266,NA
"0.1681","Fill Value of Limit of Detection",2,7268,NA
".","Missing",714,7982,NA
