"LB2RPLSI.Code.or.Value","LB2RPLSI.Value.Description","LB2RPLSI.Count","LB2RPLSI.Cumulative","LB2RPLSI.Skip.to.Item"
"0.005 to 0.792","Range of Values",533,533,NA
".","Missing",18,551,NA
