"DXXGYLM.Code.or.Value","DXXGYLM.Value.Description","DXXGYLM.Count","DXXGYLM.Cumulative","DXXGYLM.Skip.to.Item"
"1223.5 to 17580","Range of Values",5094,5094,NA
".","Missing",686,5780,NA
