"FSQ235.Code.or.Value","FSQ235.Value.Description","FSQ235.Count","FSQ235.Cumulative","FSQ235.Skip.to.Item"
"10 to 1494","Range of Values",2894,2894,NA
"77777","Refused",13,2907,NA
"99999","Don't know",57,2964,NA
".","Missing",6792,9756,NA
