"FSD760N.Code.or.Value","FSD760N.Value.Description","FSD760N.Count","FSD760N.Cumulative","FSD760N.Skip.to.Item"
"1 to 5","Range of Values",1518,1518,NA
"77","Refused",0,1518,NA
"99","Don't know",7,1525,NA
".","Missing",8446,9971,NA
