"URXVOL3.Code.or.Value","URXVOL3.Value.Description","URXVOL3.Count","URXVOL3.Cumulative","URXVOL3.Skip.to.Item"
"0 to 410","Range of Values",46,46,NA
".","Missing",8562,8608,NA
