"WHD110.Code.or.Value","WHD110.Value.Description","WHD110.Count","WHD110.Cumulative","WHD110.Skip.to.Item"
"72 to 630","Range of Values",4093,4093,NA
"7777","Refused",8,4101,NA
"9999","Don't know",117,4218,NA
".","Missing",1943,6161,NA
