"WTSCI4YR.Code.or.Value","WTSCI4YR.Value.Description","WTSCI4YR.Count","WTSCI4YR.Cumulative","WTSCI4YR.Skip.to.Item"
"1616.579907 to 231377.0998","Range of Values",827,827,NA
".","Missing",101,928,NA
