"DXXTATV.Code.or.Value","DXXTATV.Value.Description","DXXTATV.Count","DXXTATV.Cumulative","DXXTATV.Skip.to.Item"
"227.79 to 6240.78","Range of Values",4055,4055,NA
".","Missing",1059,5114,NA
