"WHQ550.Code.or.Value","WHQ550.Value.Description","WHQ550.Count","WHQ550.Cumulative","WHQ550.Skip.to.Item"
"1","never,",232,232,NA
"2","sometimes, or",523,755,NA
"3","a lot?",92,847,NA
"7","Refused",0,847,NA
"9","Don't know",7,854,NA
".","Missing",975,1829,NA
