"DS1IZINC.Code.or.Value","DS1IZINC.Value.Description","DS1IZINC.Count","DS1IZINC.Cumulative","DS1IZINC.Skip.to.Item"
"0.03762 to 90","Range of Values",1778,1778,NA
".","Missing",3945,5723,NA
