"LBXPFNA.Code.or.Value","LBXPFNA.Value.Description","LBXPFNA.Count","LBXPFNA.Cumulative","LBXPFNA.Skip.to.Item"
"0.06 to 80.77","Range of Values",1904,1904,NA
".","Missing",273,2177,NA
