"AUXRR172.Code.or.Value","AUXRR172.Value.Description","AUXRR172.Count","AUXRR172.Cumulative","AUXRR172.Skip.to.Item"
"-8 to 90","Range of Values",1676,1676,NA
".","Missing",131,1807,NA
