"DR2IFOLA.Code.or.Value","DR2IFOLA.Value.Description","DR2IFOLA.Count","DR2IFOLA.Cumulative","DR2IFOLA.Skip.to.Item"
"0 to 2649","Range of Values",131205,131205,NA
".","Missing",946,132151,NA
