"DS2TTFAT.Code.or.Value","DS2TTFAT.Value.Description","DS2TTFAT.Count","DS2TTFAT.Cumulative","DS2TTFAT.Skip.to.Item"
"0.03 to 36","Range of Values",567,567,NA
".","Missing",9246,9813,NA
