"RDQ050.Code.or.Value","RDQ050.Value.Description","RDQ050.Count","RDQ050.Cumulative","RDQ050.Skip.to.Item"
"1","Yes",314,314,""
"2","No",3288,3602,"RDQ070"
"7","Refused",1,3603,"RDQ070"
"9","Don't know",0,3603,"RDQ070"
".","Missing",5761,9364,""
