"URDTNE6.Code.or.Value","URDTNE6.Value.Description","URDTNE6.Count","URDTNE6.Cumulative","URDTNE6.Skip.to.Item"
"0.3167 to 437.3","Range of Values",548,548,NA
".","Missing",2431,2979,NA
