"LB2MPSI.Code.or.Value","LB2MPSI.Value.Description","LB2MPSI.Count","LB2MPSI.Cumulative","LB2MPSI.Skip.to.Item"
"6.2 to 11.4","Range of Values",551,551,NA
".","Missing",6,557,NA
