"TYXP186.Code.or.Value","TYXP186.Value.Description","TYXP186.Count","TYXP186.Cumulative","TYXP186.Skip.to.Item"
"-295 to 145","Range of Values",679,679,NA
".","Missing",4906,5585,NA
