"DSD128JJ.Code.or.Value","DSD128JJ.Value.Description","DSD128JJ.Count","DSD128JJ.Cumulative","DSD128JJ.Skip.to.Item"
"44","FOR WEIGHT GAIN",72,72,NA
".","Missing",9487,9559,NA
