"RDQ070.Code.or.Value","RDQ070.Value.Description","RDQ070.Count","RDQ070.Cumulative","RDQ070.Skip.to.Item"
"1","Yes",1282,1282,""
"2","No",8816,10098,"RDQ140"
"7","Refused",2,10100,"RDQ140"
"9","Don't know",9,10109,"RDQ140"
".","Missing",0,10109,""
