"LBDF01LC.Code.or.Value","LBDF01LC.Value.Description","LBDF01LC.Count","LBDF01LC.Cumulative","LBDF01LC.Skip.to.Item"
"0","At or above the detection limit",38,38,NA
"1","Below lower detection limit",208,246,NA
".","Missing",18,264,NA
