"WTSBA38.Code.or.Value","WTSBA38.Value.Description","WTSBA38.Count","WTSBA38.Cumulative","WTSBA38.Skip.to.Item"
"0 to 363134.13884","Range of Values",946,946,NA
".","Missing",65,1011,NA
