"TYXP189.Code.or.Value","TYXP189.Value.Description","TYXP189.Count","TYXP189.Cumulative","TYXP189.Skip.to.Item"
"-297 to 1","Range of Values",1413,1413,NA
".","Missing",7056,8469,NA
