"SSGII3C2.Code.or.Value","SSGII3C2.Value.Description","SSGII3C2.Count","SSGII3C2.Cumulative","SSGII3C2.Skip.to.Item"
"0 to 100000","Range of Values",883,883,NA
".","Missing",63,946,NA
