"LBDHRPLC.Code.or.Value","LBDHRPLC.Value.Description","LBDHRPLC.Count","LBDHRPLC.Cumulative","LBDHRPLC.Skip.to.Item"
"0","At or above detection limit",6602,6602,NA
"1","Below lower detection limit",1265,7867,NA
".","Missing",1298,9165,NA
