"WHQ060.Code.or.Value","WHQ060.Value.Description","WHQ060.Count","WHQ060.Cumulative","WHQ060.Skip.to.Item"
"1","Yes",629,629,"WHD080A"
"2","No",441,1070,""
"7","Refused",0,1070,""
"9","Don't know",0,1070,""
".","Missing",5069,6139,""
