"OCQ180.Code.or.Value","OCQ180.Value.Description","OCQ180.Count","OCQ180.Cumulative","OCQ180.Skip.to.Item"
"1 to 130","Range of Values",3367,3367,NA
"77777","Refused",1,3368,NA
"99999","Don't know",3,3371,NA
".","Missing",3518,6889,NA
