"URDTCCLC.Code.or.Value","URDTCCLC.Value.Description","URDTCCLC.Count","URDTCCLC.Cumulative","URDTCCLC.Skip.to.Item"
"0","detectable result",688,688,NA
"1","below detectable limit",1288,1976,NA
".","Missing",149,2125,NA
