"DS2IIODI.Code.or.Value","DS2IIODI.Value.Description","DS2IIODI.Count","DS2IIODI.Cumulative","DS2IIODI.Skip.to.Item"
"3.75 to 12500","Range of Values",1223,1223,NA
".","Missing",4476,5699,NA
