"DRXMC.Code.or.Value","DRXMC.Value.Description","DRXMC.Count","DRXMC.Cumulative","DRXMC.Skip.to.Item"
"100000 to 206659","Range of Values",1373,1373,NA
".","Missing",0,1373,NA
