"WBXP069.Code.or.Value","WBXP069.Value.Description","WBXP069.Count","WBXP069.Cumulative","WBXP069.Skip.to.Item"
"-105.766 to 152.1114","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
