"ORXH56.Code.or.Value","ORXH56.Value.Description","ORXH56.Count","ORXH56.Cumulative","ORXH56.Skip.to.Item"
"1","Positive",7,7,NA
"2","Negative",4539,4546,NA
"3","Not evaluated",297,4843,NA
".","Missing",0,4843,NA
