"OHAROCDT.Code.or.Value","OHAROCDT.Value.Description","OHAROCDT.Count","OHAROCDT.Cumulative","OHAROCDT.Skip.to.Item"
"1","Yes",2047,2047,NA
"2","No",27,2074,NA
".","Missing",6882,8956,NA
