"AUDTYL65.Code.or.Value","AUDTYL65.Value.Description","AUDTYL65.Count","AUDTYL65.Cumulative","AUDTYL65.Skip.to.Item"
"0 to 2.28","Range of Values",2756,2756,NA
".","Missing",278,3034,NA
