"RHQ572.Code.or.Value","RHQ572.Value.Description","RHQ572.Count","RHQ572.Cumulative","RHQ572.Skip.to.Item"
"21 to 77","Range of Values",118,118,NA
"777","Refused",0,118,NA
"999","Don't know",1,119,NA
".","Missing",3746,3865,NA
